"site","time","utm_x","utm_y","S","gamma_t","elevation","ndvi","urban","n_tested","n_pos","prevalence_true"
1,1,336995.651475509,1047441.74259977,0.266107970349436,2.11781169778922,228.452148555485,0.305386382954848,0,63,51,0.773873748122068
1,2,336995.651475509,1047441.74259977,0.266107970349436,1.50080234286777,228.452148555485,0.305386382954848,0,65,43,0.648694555358352
1,3,336995.651475509,1047441.74259977,0.266107970349436,0.381255777034645,228.452148555485,0.305386382954848,0,119,52,0.376075216045348
1,4,336995.651475509,1047441.74259977,0.266107970349436,0.286346001734015,228.452148555485,0.305386382954848,0,191,72,0.354080537231293
1,5,336995.651475509,1047441.74259977,0.266107970349436,0.167704016270681,228.452148555485,0.305386382954848,0,180,50,0.327438695701027
1,6,336995.651475509,1047441.74259977,0.266107970349436,0.207195822810418,228.452148555485,0.305386382954848,0,155,52,0.336194212696727
2,1,130990.395926378,1175627.63533455,-0.164730784503313,2.11781169778922,368.621590737993,0.40525173795399,0,132,79,0.679001282094043
2,2,130990.395926378,1175627.63533455,-0.164730784503313,1.50080234286777,368.621590737993,0.40525173795399,0,181,98,0.53299610834622
2,3,130990.395926378,1175627.63533455,-0.164730784503313,0.381255777034645,368.621590737993,0.40525173795399,0,135,29,0.271431858033916
2,4,130990.395926378,1175627.63533455,-0.164730784503313,0.286346001734015,368.621590737993,0.40525173795399,0,85,27,0.253074826406569
2,5,130990.395926378,1175627.63533455,-0.164730784503313,0.167704016270681,368.621590737993,0.40525173795399,0,99,25,0.231311274919712
2,6,130990.395926378,1175627.63533455,-0.164730784503313,0.207195822810418,368.621590737993,0.40525173795399,0,148,29,0.238407545944206
3,1,211398.498544652,932225.174869716,-0.578318868437139,2.11781169778922,244.538088967432,0.208618732531856,1,152,106,0.686264231293322
3,2,211398.498544652,932225.174869716,-0.578318868437139,1.50080234286777,244.538088967432,0.208618732531856,1,60,36,0.541331034776738
3,3,211398.498544652,932225.174869716,-0.578318868437139,0.381255777034645,244.538088967432,0.208618732531856,1,55,11,0.278112355528056
3,4,211398.498544652,932225.174869716,-0.578318868437139,0.286346001734015,244.538088967432,0.208618732531856,1,82,15,0.259464420268717
3,5,211398.498544652,932225.174869716,-0.578318868437139,0.167704016270681,244.538088967432,0.208618732531856,1,175,44,0.237325977180066
3,6,211398.498544652,932225.174869716,-0.578318868437139,0.207195822810418,244.538088967432,0.208618732531856,1,182,41,0.244548066809129
4,1,1083837.73757048,1311704.29675383,-0.271874717298227,2.11781169778922,310.857930962768,0.60773269532647,0,190,135,0.707244465098185
4,2,1083837.73757048,1311704.29675383,-0.271874717298227,1.50080234286777,310.857930962768,0.60773269532647,0,162,113,0.565872156651828
4,3,1083837.73757048,1311704.29675383,-0.271874717298227,0.381255777034645,310.857930962768,0.60773269532647,0,114,30,0.298486079691524
4,4,1083837.73757048,1311704.29675383,-0.271874717298227,0.286346001734015,310.857930962768,0.60773269532647,0,192,59,0.279000027102239
4,5,1083837.73757048,1311704.29675383,-0.271874717298227,0.167704016270681,310.857930962768,0.60773269532647,0,89,20,0.255770441141282
4,6,1083837.73757048,1311704.29675383,-0.271874717298227,0.207195822810418,310.857930962768,0.60773269532647,0,119,28,0.263359997855896
5,1,250696.250585671,935450.037011903,0.0699738386295194,2.11781169778922,273.279184741748,0.207893179048536,0,160,112,0.711280289423527
5,2,250696.250585671,935450.037011903,0.0699738386295194,1.50080234286777,273.279184741748,0.207893179048536,0,134,75,0.570673822759783
5,3,250696.250585671,935450.037011903,0.0699738386295194,0.381255777034645,273.279184741748,0.207893179048536,0,80,21,0.30260034291929
5,4,250696.250585671,935450.037011903,0.0699738386295194,0.286346001734015,273.279184741748,0.207893179048536,0,109,29,0.282954034745434
5,5,250696.250585671,935450.037011903,0.0699738386295194,0.167704016270681,273.279184741748,0.207893179048536,0,83,19,0.259513732433705
5,6,250696.250585671,935450.037011903,0.0699738386295194,0.207195822810418,273.279184741748,0.207893179048536,0,165,43,0.267174489359602
6,1,487600.188036468,1210216.64785133,0.792472656783792,2.11781169778922,351.004817835577,0.554990130421774,0,94,79,0.865153593419636
6,2,487600.188036468,1210216.64785133,0.792472656783792,1.50080234286777,351.004817835577,0.554990130421774,0,84,72,0.77587044508156
6,3,487600.188036468,1210216.64785133,0.792472656783792,0.381255777034645,351.004817835577,0.554990130421774,0,75,40,0.530515709784409
6,4,487600.188036468,1210216.64785133,0.792472656783792,0.286346001734015,351.004817835577,0.554990130421774,0,114,54,0.506825815432395
6,5,487600.188036468,1210216.64785133,0.792472656783792,0.167704016270681,351.004817835577,0.554990130421774,0,70,37,0.477181604392992
6,6,487600.188036468,1210216.64785133,0.792472656783792,0.207195822810418,351.004817835577,0.554990130421774,0,135,67,0.487041597257837
7,1,359835.023793218,1284742.32838981,1.28650362104935,2.11781169778922,309.86958473808,0.497571416118757,1,135,129,0.944917211019605
7,2,359835.023793218,1284742.32838981,1.28650362104935,1.50080234286777,309.86958473808,0.497571416118757,1,146,139,0.902494222308154
7,3,359835.023793218,1284742.32838981,1.28650362104935,0.381255777034645,309.86958473808,0.497571416118757,1,167,125,0.751327353452982
7,4,359835.023793218,1284742.32838981,1.28650362104935,0.286346001734015,309.86958473808,0.497571416118757,1,96,66,0.733175568709308
7,5,359835.023793218,1284742.32838981,1.28650362104935,0.167704016270681,309.86958473808,0.497571416118757,1,132,86,0.709334137543513
7,6,359835.023793218,1284742.32838981,1.28650362104935,0.207195822810418,309.86958473808,0.497571416118757,1,79,55,0.717408725481993
8,1,442316.789666511,1055744.96800393,0.866744639962125,2.11781169778922,270.044125212496,0.402365527667825,1,120,111,0.915028646270184
8,2,442316.789666511,1055744.96800393,0.866744639962125,1.50080234286777,270.044125212496,0.402365527667825,1,137,119,0.853163543825842
8,3,442316.789666511,1055744.96800393,0.866744639962125,0.381255777034645,270.044125212496,0.402365527667825,1,51,34,0.654772735002702
8,4,442316.789666511,1055744.96800393,0.866744639962125,0.286346001734015,270.044125212496,0.402365527667825,1,56,42,0.633015545485377
8,5,442316.789666511,1055744.96800393,0.866744639962125,0.167704016270681,270.044125212496,0.402365527667825,1,102,63,0.605045598573159
8,6,442316.789666511,1055744.96800393,0.866744639962125,0.207195822810418,270.044125212496,0.402365527667825,1,84,52,0.614442570754022
9,1,185687.014844409,1501600.81889951,0.151681544374252,2.11781169778922,251.672070469452,0.613928281407285,0,160,117,0.797437765585862
9,2,185687.014844409,1501600.81889951,0.151681544374252,1.50080234286777,251.672070469452,0.613928281407285,0,190,132,0.679907614705102
9,3,185687.014844409,1501600.81889951,0.151681544374252,0.381255777034645,251.672070469452,0.613928281407285,0,117,47,0.409459723941081
9,4,185687.014844409,1501600.81889951,0.151681544374252,0.286346001734015,251.672070469452,0.613928281407285,0,166,52,0.386722754369582
9,5,185687.014844409,1501600.81889951,0.151681544374252,0.167704016270681,251.672070469452,0.613928281407285,0,118,32,0.358989877559316
9,6,185687.014844409,1501600.81889951,0.151681544374252,0.207195822810418,251.672070469452,0.613928281407285,0,160,47,0.368127276163416
10,1,145254.921648289,569386.179450511,0.033890335162208,2.11781169778922,277.727453473198,0.090999257033102,1,181,147,0.778315006830725
10,2,145254.921648289,569386.179450511,0.033890335162208,1.50080234286777,277.727453473198,0.090999257033102,1,63,46,0.654496746832373
10,3,145254.921648289,569386.179450511,0.033890335162208,0.381255777034645,277.727453473198,0.090999257033102,1,102,39,0.382091091451405
